turn	start	end	role	num_syllables
166	1278.195	1278.415	L_rep	2
018	99.015	99.275	F	2
081	601.395	601.615	L_rep	2
167	1284.805	1285.045	L_rep	2
024	133.205	133.465	F	2
026	143.735	144.695	F	5
038	263.195	263.475	F	2
094	705.635	705.805	L_rep	2
088	673.295	673.527	L_rep	2
001	7.235	10.815	NOUSE	16
130	936.555	936.825	F	2
043	302.985	303.195	F_rep	2
136	983.335	1007.588	F_rep	107
148	1086.025	1093.295	L	25
106	780.935	781.845	F	7
159	1208.485	1209.165	L	3
051	379.425	380.815	L	8
046	324.135	341.395	F_rep	63
169	1298.665	1300.947	L_rep	4
016	92.875	93.105	F	2
156	1174.255	1181.045	L	39
039	269.365	269.635	F	2
035	222.455	223.515	F	2
100	747.485	747.775	F	2
073	542.335	545.795	L	14
067	485.345	498.735	L	70
104	774.715	774.965	F	2
160	1222.965	1224.225	L_rep	6
139	1033.355	1033.728	L	1
157	1182.895	1193.535	L	52
124	902.335	905.258	F	18
096	720.915	721.225	F	1
127	918.605	918.855	F	2
057	418.735	420.865	L	15
033	194.885	198.325	F	26
133	956.805	962.125	F_rep	26
015	83.035	87.602	F	21
119	864.205	866.355	F	12
075	549.845	558.815	L	33
006	39.745	40.085	F	2
164	1239.995	1240.265	L_rep	2
042	297.445	302.735	F_rep	35
111	824.165	824.455	F	2
045	312.277	323.545	F_rep	46
061	440.565	441.403	L	3
137	1014.958	1021.605	L	26
052	381.355	386.665	L	22
007	45.575	45.825	F	2
128	924.175	924.455	F	1
161	1227.005	1227.285	L_rep	2
021	113.435	113.675	F	2
162	1232.185	1232.395	L_rep	2
115	841.865	842.735	F	5
140	1035.555	1042.195	L	28
041	283.635	290.324	F	23
066	482.325	483.865	L	9
078	587.927	588.01	L_rep	1
034	200.065	203.555	F	26
059	427.365	437.375	L	34
165	1256.025	1256.295	L_rep	2
047	342.055	356.045	F_rep	52
168	1297.455	1297.775	L_rep	1
070	514.975	517.845	L	17
060	438.426	439.525	L	6
097	729.825	730.085	F	2
147	1083.735	1085.625	L	16
069	507.745	513.355	L	24
020	109.385	109.625	F	2
012	65.625	65.855	F	2
095	706.345	709.345	L_rep	13
102	762.885	763.465	F	4
055	409.165	413.665	L	16
030	174.155	174.925	F	4
032	183.685	183.925	F	2
145	1075.585	1078.433	L	11
153	1133.805	1144.215	L	36
122	886.245	887.885	F	11
072	535.795	541.045	L	23
044	303.655	311.825	F_rep	36
084	630.085	633.145	L_rep	16
121	877.425	877.565	F	0
109	804.905	805.195	F	2
005	32.395	32.655	F	2
117	850.635	850.895	F	2
019	102.815	103.045	F	2
027	146.025	146.275	F	2
083	625.505	625.665	L_rep	2
086	645.985	646.365	L_rep	1
101	750.755	750.985	F	2
134	962.795	971.015	F_rep	32
093	705.015	705.215	L_rep	2
146	1078.795	1082.435	L	20
142	1049.815	1058.945	L	30
103	770.045	770.345	F	2
077	573.335	579.825	L	33
062	443.415	464.585	L	89
152	1119.635	1131.075	L	51
120	867.035	867.355	F	2
025	138.235	138.505	F	2
048	356.995	357.247	F_rep	1
002	18.235	18.485	F	2
008	48.665	48.945	F	2
074	546.935	549.165	L	12
123	898.015	898.29	F	2
132	947.405	955.545	F_rep	30
076	561.112	572.565	L	46
129	928.585	928.835	F	2
011	62.325	62.605	F	2
151	1108.025	1118.675	L	42
050	368.095	378.595	L	42
065	477.345	479.878	L	10
138	1023.305	1031.595	L	29
054	403.265	408.455	L	18
053	389.395	401.453	L	76
089	679.495	679.725	L_rep	2
163	1237.535	1237.775	L_rep	2
017	98.485	98.705	F	1
029	159.291	161.135	F	12
004	25.915	26.145	F	2
112	827.935	828.265	F	2
149	1094.325	1099.875	L	21
031	181.095	181.375	F	2
110	819.405	819.715	F	2
079	590.955	591.165	L_rep	2
150	1101.145	1106.435	L	12
040	271.455	271.815	F	2
116	844.375	844.645	F	2
155	1171.205	1173.875	L	14
064	468.875	473.485	L	22
003	20.445	21.505	F	6
023	128.025	128.575	F	4
049	360.085	365.131	F_rep	18
058	421.835	425.995	L	12
080	597.485	597.735	L_rep	2
013	68.985	69.265	F	2
158	1194.065	1204.935	L	54
113	829.775	830.051	F	2
009	54.635	54.965	F	2
071	518.795	535.075	L	65
144	1062.689	1072.835	L	38
010	61.265	61.585	F	2
114	836.375	836.945	F	4
092	699.725	700.565	L_rep	2
131	942.915	943.185	F	2
014	72.955	73.255	F	2
068	499.515	506.885	L	19
135	971.999	982.505	F_rep	37
037	250.875	251.395	F	4
143	1059.825	1061.405	L	4
090	689.225	689.426	L_rep	2
099	744.485	744.706	F	2
028	156.695	156.985	F	2
036	228.065	235.235	F	44
063	465.798	468.418	L	18
126	915.075	915.595	F	4
085	636.165	636.325	L_rep	0
118	854.015	855.555	F	10
098	738.645	738.888	F	2
105	778.975	779.835	F	5
141	1042.915	1045.955	L	12
087	651.525	659.035	L_rep	31
056	414.215	416.505	L	8
108	797.355	797.535	F	2
022	117.915	118.945	F	8
154	1145.885	1164.615	L	63
107	792.315	793.655	F	4
125	911.185	911.965	F	6
091	691.315	692.165	L_rep	3
082	611.225	611.555	L_rep	2
